2018-12-20 08:10:30 status installed mime-support:all 3.59ubuntu1
2018-12-20 08:10:30 trigproc ureadahead:amd64 0.100.0-19 <none>
2018-12-20 08:10:30 status half-configured ureadahead:amd64 0.100.0-19
2018-12-20 08:10:30 status installed ureadahead:amd64 0.100.0-19
2018-12-20 08:10:30 startup packages configure
2018-12-20 08:10:30 configure util-linux:amd64 2.27.1-6ubuntu3.6 <none>
2018-12-20 08:10:30 status unpacked util-linux:amd64 2.27.1-6ubuntu3.6
2018-12-20 08:10:30 status unpacked util-linux:amd64 2.27.1-6ubuntu3.6
2018-12-20 08:10:30 status unpacked util-linux:amd64 2.27.1-6ubuntu3.6
2018-12-20 08:10:30 status unpacked util-linux:amd64 2.27.1-6ubuntu3.6
2018-12-20 08:10:30 status unpacked util-linux:amd64 2.27.1-6ubuntu3.6
2018-12-20 08:10:30 status unpacked util-linux:amd64 2.27.1-6ubuntu3.6
2018-12-20 08:10:30 status unpacked util-linux:amd64 2.27.1-6ubuntu3.6
2018-12-20 08:10:30 status unpacked util-linux:amd64 2.27.1-6ubuntu3.6
2018-12-20 08:10:30 status half-configured util-linux:amd64 2.27.1-6ubuntu3.6
2018-12-20 08:10:30 status installed util-linux:amd64 2.27.1-6ubuntu3.6
2018-12-20 08:10:30 trigproc systemd:amd64 229-4ubuntu21 <none>
2018-12-20 08:10:30 status half-configured systemd:amd64 229-4ubuntu21
2018-12-20 08:10:30 status installed systemd:amd64 229-4ubuntu21
2018-12-20 08:10:30 startup archives unpack
2018-12-20 08:10:30 upgrade mount:amd64 2.27.1-6ubuntu3.3 2.27.1-6ubuntu3.6
2018-12-20 08:10:30 status half-configured mount:amd64 2.27.1-6ubuntu3.3
2018-12-20 08:10:31 status unpacked mount:amd64 2.27.1-6ubuntu3.3
2018-12-20 08:10:31 status half-installed mount:amd64 2.27.1-6ubuntu3.3
2018-12-20 08:10:31 status triggers-pending man-db:amd64 2.7.5-1
2018-12-20 08:10:31 status half-installed mount:amd64 2.27.1-6ubuntu3.3
2018-12-20 08:10:31 status unpacked mount:amd64 2.27.1-6ubuntu3.6
2018-12-20 08:10:31 status unpacked mount:amd64 2.27.1-6ubuntu3.6
2018-12-20 08:10:31 trigproc man-db:amd64 2.7.5-1 <none>
2018-12-20 08:10:31 status half-configured man-db:amd64 2.7.5-1
2018-12-20 08:10:31 status installed man-db:amd64 2.7.5-1
2018-12-20 08:10:31 startup packages configure
2018-12-20 08:10:31 configure mount:amd64 2.27.1-6ubuntu3.6 <none>
2018-12-20 08:10:31 status unpacked mount:amd64 2.27.1-6ubuntu3.6
2018-12-20 08:10:31 status half-configured mount:amd64 2.27.1-6ubuntu3.6
2018-12-20 08:10:31 status installed mount:amd64 2.27.1-6ubuntu3.6
2018-12-20 08:10:32 startup archives unpack
2018-12-20 08:10:32 upgrade libperl5.22:amd64 5.22.1-9ubuntu0.2 5.22.1-9ubuntu0.6
2018-12-20 08:10:32 status half-configured libperl5.22:amd64 5.22.1-9ubuntu0.2
2018-12-20 08:10:32 status unpacked libperl5.22:amd64 5.22.1-9ubuntu0.2
2018-12-20 08:10:32 status half-installed libperl5.22:amd64 5.22.1-9ubuntu0.2
2018-12-20 08:10:32 status triggers-pending man-db:amd64 2.7.5-1
2018-12-20 08:10:33 status half-installed libperl5.22:amd64 5.22.1-9ubuntu0.2
2018-12-20 08:10:33 status unpacked libperl5.22:amd64 5.22.1-9ubuntu0.6
2018-12-20 08:10:33 status unpacked libperl5.22:amd64 5.22.1-9ubuntu0.6
2018-12-20 08:10:33 upgrade perl:amd64 5.22.1-9ubuntu0.2 5.22.1-9ubuntu0.6
2018-12-20 08:10:33 status half-configured perl:amd64 5.22.1-9ubuntu0.2
2018-12-20 08:10:33 status unpacked perl:amd64 5.22.1-9ubuntu0.2
2018-12-20 08:10:33 status half-installed perl:amd64 5.22.1-9ubuntu0.2
2018-12-20 08:10:33 status half-installed perl:amd64 5.22.1-9ubuntu0.2
2018-12-20 08:10:33 status unpacked perl:amd64 5.22.1-9ubuntu0.6
2018-12-20 08:10:33 status unpacked perl:amd64 5.22.1-9ubuntu0.6
2018-12-20 08:10:33 upgrade perl-base:amd64 5.22.1-9ubuntu0.2 5.22.1-9ubuntu0.6
2018-12-20 08:10:33 status half-configured perl-base:amd64 5.22.1-9ubuntu0.2
2018-12-20 08:10:33 status unpacked perl-base:amd64 5.22.1-9ubuntu0.2
2018-12-20 08:10:33 status half-installed perl-base:amd64 5.22.1-9ubuntu0.2
2018-12-20 08:10:34 status half-installed perl-base:amd64 5.22.1-9ubuntu0.2
2018-12-20 08:10:34 status unpacked perl-base:amd64 5.22.1-9ubuntu0.6
2018-12-20 08:10:34 status unpacked perl-base:amd64 5.22.1-9ubuntu0.6
2018-12-20 08:10:34 trigproc man-db:amd64 2.7.5-1 <none>
2018-12-20 08:10:34 status half-configured man-db:amd64 2.7.5-1
2018-12-20 08:10:35 status installed man-db:amd64 2.7.5-1
2018-12-20 08:10:35 startup packages configure
2018-12-20 08:10:35 configure perl-base:amd64 5.22.1-9ubuntu0.6 <none>
2018-12-20 08:10:35 status unpacked perl-base:amd64 5.22.1-9ubuntu0.6
2018-12-20 08:10:35 status half-configured perl-base:amd64 5.22.1-9ubuntu0.6
2018-12-20 08:10:35 status installed perl-base:amd64 5.22.1-9ubuntu0.6
2018-12-20 08:10:35 startup archives unpack
2018-12-20 08:10:35 upgrade perl-modules-5.22:all 5.22.1-9ubuntu0.2 5.22.1-9ubuntu0.6
2018-12-20 08:10:35 status half-configured perl-modules-5.22:all 5.22.1-9ubuntu0.2
2018-12-20 08:10:35 status unpacked perl-modules-5.22:all 5.22.1-9ubuntu0.2
2018-12-20 08:10:35 status half-installed perl-modules-5.22:all 5.22.1-9ubuntu0.2
2018-12-20 08:10:36 status half-installed perl-modules-5.22:all 5.22.1-9ubuntu0.2
2018-12-20 08:10:36 status unpacked perl-modules-5.22:all 5.22.1-9ubuntu0.6
2018-12-20 08:10:36 status unpacked perl-modules-5.22:all 5.22.1-9ubuntu0.6
2018-12-20 08:10:36 upgrade libc6:amd64 2.23-0ubuntu9 2.23-0ubuntu10
2018-12-20 08:10:36 status triggers-pending libc-bin:amd64 2.23-0ubuntu9
2018-12-20 08:10:36 status half-configured libc6:amd64 2.23-0ubuntu9
2018-12-20 08:10:36 status unpacked libc6:amd64 2.23-0ubuntu9
2018-12-20 08:10:36 status half-installed libc6:amd64 2.23-0ubuntu9
2018-12-20 08:10:37 status half-installed libc6:amd64 2.23-0ubuntu9
2018-12-20 08:10:37 status unpacked libc6:amd64 2.23-0ubuntu10
2018-12-20 08:10:37 status unpacked libc6:amd64 2.23-0ubuntu10
2018-12-20 08:10:37 startup packages configure
2018-12-20 08:10:37 configure libc6:amd64 2.23-0ubuntu10 <none>
2018-12-20 08:10:37 status unpacked libc6:amd64 2.23-0ubuntu10
2018-12-20 08:10:37 status unpacked libc6:amd64 2.23-0ubuntu10
2018-12-20 08:10:37 status half-configured libc6:amd64 2.23-0ubuntu10
2018-12-20 08:10:38 status installed libc6:amd64 2.23-0ubuntu10
2018-12-20 08:10:38 trigproc libc-bin:amd64 2.23-0ubuntu9 <none>
2018-12-20 08:10:38 status half-configured libc-bin:amd64 2.23-0ubuntu9
2018-12-20 08:10:38 status installed libc-bin:amd64 2.23-0ubuntu9
2018-12-20 08:10:38 startup archives unpack
2018-12-20 08:10:38 upgrade libdb5.3:amd64 5.3.28-11 5.3.28-11ubuntu0.1
2018-12-20 08:10:38 status triggers-pending libc-bin:amd64 2.23-0ubuntu9
2018-12-20 08:10:38 status half-configured libdb5.3:amd64 5.3.28-11
2018-12-20 08:10:38 status unpacked libdb5.3:amd64 5.3.28-11
2018-12-20 08:10:38 status half-installed libdb5.3:amd64 5.3.28-11
2018-12-20 08:10:39 status half-installed libdb5.3:amd64 5.3.28-11
2018-12-20 08:10:39 status unpacked libdb5.3:amd64 5.3.28-11ubuntu0.1
2018-12-20 08:10:39 status unpacked libdb5.3:amd64 5.3.28-11ubuntu0.1
2018-12-20 08:10:39 trigproc libc-bin:amd64 2.23-0ubuntu9 <none>
2018-12-20 08:10:39 status half-configured libc-bin:amd64 2.23-0ubuntu9
2018-12-20 08:10:39 status installed libc-bin:amd64 2.23-0ubuntu9
2018-12-20 08:10:39 startup packages configure
2018-12-20 08:10:39 configure libdb5.3:amd64 5.3.28-11ubuntu0.1 <none>
2018-12-20 08:10:39 status triggers-pending libc-bin:amd64 2.23-0ubuntu9
2018-12-20 08:10:39 status unpacked libdb5.3:amd64 5.3.28-11ubuntu0.1
2018-12-20 08:10:39 status half-configured libdb5.3:amd64 5.3.28-11ubuntu0.1
2018-12-20 08:10:39 status installed libdb5.3:amd64 5.3.28-11ubuntu0.1
2018-12-20 08:10:39 trigproc libc-bin:amd64 2.23-0ubuntu9 <none>
2018-12-20 08:10:39 status half-configured libc-bin:amd64 2.23-0ubuntu9
2018-12-20 08:10:39 status installed libc-bin:amd64 2.23-0ubuntu9
2018-12-20 08:10:39 startup archives unpack
2018-12-20 08:10:39 upgrade locales:all 2.23-0ubuntu9 2.23-0ubuntu10
2018-12-20 08:10:39 status half-configured locales:all 2.23-0ubuntu9
2018-12-20 08:10:39 status unpacked locales:all 2.23-0ubuntu9
2018-12-20 08:10:39 status half-installed locales:all 2.23-0ubuntu9
2018-12-20 08:10:40 status triggers-pending man-db:amd64 2.7.5-1
2018-12-20 08:10:40 status half-installed locales:all 2.23-0ubuntu9
2018-12-20 08:10:40 status unpacked locales:all 2.23-0ubuntu10
2018-12-20 08:10:40 status unpacked locales:all 2.23-0ubuntu10
2018-12-20 08:10:40 upgrade libc-bin:amd64 2.23-0ubuntu9 2.23-0ubuntu10
2018-12-20 08:10:40 status half-configured libc-bin:amd64 2.23-0ubuntu9
2018-12-20 08:10:40 status unpacked libc-bin:amd64 2.23-0ubuntu9
2018-12-20 08:10:40 status half-installed libc-bin:amd64 2.23-0ubuntu9
2018-12-20 08:10:40 status half-installed libc-bin:amd64 2.23-0ubuntu9
2018-12-20 08:10:40 status unpacked libc-bin:amd64 2.23-0ubuntu10
2018-12-20 08:10:40 status unpacked libc-bin:amd64 2.23-0ubuntu10
2018-12-20 08:10:40 trigproc man-db:amd64 2.7.5-1 <none>
2018-12-20 08:10:40 status half-configured man-db:amd64 2.7.5-1
2018-12-20 08:10:41 status installed man-db:amd64 2.7.5-1
2018-12-20 08:10:41 startup packages configure
2018-12-20 08:10:41 configure libc-bin:amd64 2.23-0ubuntu10 <none>
2018-12-20 08:10:41 status unpacked libc-bin:amd64 2.23-0ubuntu10
2018-12-20 08:10:41 status unpacked libc-bin:amd64 2.23-0ubuntu10
2018-12-20 08:10:41 status unpacked libc-bin:amd64 2.23-0ubuntu10
2018-12-20 08:10:41 status unpacked libc-bin:amd64 2.23-0ubuntu10
2018-12-20 08:10:41 status unpacked libc-bin:amd64 2.23-0ubuntu10
2018-12-20 08:10:41 status unpacked libc-bin:amd64 2.23-0ubuntu10
2018-12-20 08:10:41 status half-configured libc-bin:amd64 2.23-0ubuntu10
2018-12-20 08:10:41 status installed libc-bin:amd64 2.23-0ubuntu10
2018-12-20 08:10:41 startup archives unpack
2018-12-20 08:10:42 upgrade gcc-5-base:amd64 5.4.0-6ubuntu1~16.04.5 5.4.0-6ubuntu1~16.04.11
2018-12-20 08:10:42 status half-configured gcc-5-base:amd64 5.4.0-6ubuntu1~16.04.5
2018-12-20 08:10:42 status unpacked gcc-5-base:amd64 5.4.0-6ubuntu1~16.04.5
2018-12-20 08:10:42 status half-installed gcc-5-base:amd64 5.4.0-6ubuntu1~16.04.5
2018-12-20 08:10:42 status half-installed gcc-5-base:amd64 5.4.0-6ubuntu1~16.04.5
2018-12-20 08:10:42 status unpacked gcc-5-base:amd64 5.4.0-6ubuntu1~16.04.11
2018-12-20 08:10:42 status unpacked gcc-5-base:amd64 5.4.0-6ubuntu1~16.04.11
2018-12-20 08:10:42 startup packages configure
2018-12-20 08:10:42 configure gcc-5-base:amd64 5.4.0-6ubuntu1~16.04.11 <none>
2018-12-20 08:10:42 status unpacked gcc-5-base:amd64 5.4.0-6ubuntu1~16.04.11
2018-12-20 08:10:42 status half-configured gcc-5-base:amd64 5.4.0-6ubuntu1~16.04.11
2018-12-20 08:10:42 status installed gcc-5-base:amd64 5.4.0-6ubuntu1~16.04.11
2018-12-20 08:10:42 startup archives unpack
2018-12-20 08:10:42 upgrade libstdc++6:amd64 5.4.0-6ubuntu1~16.04.5 5.4.0-6ubuntu1~16.04.11
2018-12-20 08:10:42 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2018-12-20 08:10:42 status half-configured libstdc++6:amd64 5.4.0-6ubuntu1~16.04.5
2018-12-20 08:10:42 status unpacked libstdc++6:amd64 5.4.0-6ubuntu1~16.04.5
2018-12-20 08:10:42 status half-installed libstdc++6:amd64 5.4.0-6ubuntu1~16.04.5
2018-12-20 08:10:42 status half-installed libstdc++6:amd64 5.4.0-6ubuntu1~16.04.5
2018-12-20 08:10:42 status unpacked libstdc++6:amd64 5.4.0-6ubuntu1~16.04.11
2018-12-20 08:10:42 status unpacked libstdc++6:amd64 5.4.0-6ubuntu1~16.04.11
2018-12-20 08:10:42 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2018-12-20 08:10:42 status half-configured libc-bin:amd64 2.23-0ubuntu10
2018-12-20 08:10:42 status installed libc-bin:amd64 2.23-0ubuntu10
2018-12-20 08:10:42 startup packages configure
2018-12-20 08:10:42 configure libstdc++6:amd64 5.4.0-6ubuntu1~16.04.11 <none>
2018-12-20 08:10:42 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2018-12-20 08:10:42 status unpacked libstdc++6:amd64 5.4.0-6ubuntu1~16.04.11
2018-12-20 08:10:42 status half-configured libstdc++6:amd64 5.4.0-6ubuntu1~16.04.11
2018-12-20 08:10:42 status installed libstdc++6:amd64 5.4.0-6ubuntu1~16.04.11
2018-12-20 08:10:42 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2018-12-20 08:10:42 status half-configured libc-bin:amd64 2.23-0ubuntu10
2018-12-20 08:10:42 status installed libc-bin:amd64 2.23-0ubuntu10
2018-12-20 08:10:42 startup archives unpack
2018-12-20 08:10:42 upgrade libapt-pkg5.0:amd64 1.2.24 1.2.29
2018-12-20 08:10:42 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
